2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=6, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=6, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=7, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=2, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=7, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=8, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=3, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=4, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=7, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=8, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=6, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1965, Month=6, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1966, Month=1, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1966, Month=1, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1966, Month=7, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1966, Month=6, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1966, Month=9, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1966, Month=2, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1966, Month=1, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1966, Month=3, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1966, Month=None, Day=None
2024-09-14 00:12:00,847 - WARNING - Invalid date encountered: Year=1966, Month=9, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1967, Month=None, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1967, Month=10, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1967, Month=8, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1967, Month=11, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1967, Month=8, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1967, Month=None, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1967, Month=1, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1967, Month=6, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=11, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=7, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=12, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=6, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=8, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=8, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=7, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=11, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=None, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=10, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=1, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=4, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1968, Month=7, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1969, Month=1, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1972, Month=1, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1969, Month=4, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1972, Month=None, Day=None
2024-09-14 00:12:00,863 - WARNING - Invalid date encountered: Year=1971, Month=1, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1972, Month=None, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=10, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=2, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=11, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=12, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=10, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=9, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=5, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=9, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=6, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=7, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=10, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1969, Month=None, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=1, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=9, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=7, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=8, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=1, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=4, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=11, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=11, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=1, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=4, Day=None
2024-09-14 00:12:00,878 - WARNING - Invalid date encountered: Year=1970, Month=12, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=8, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=1, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=12, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=3, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=6, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=7, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=1, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=8, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=1, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=7, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=4, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1971, Month=10, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1972, Month=1, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1972, Month=11, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1972, Month=11, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1972, Month=11, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1972, Month=1, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1972, Month=4, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1972, Month=10, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1972, Month=None, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1972, Month=None, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=12, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=12, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=3, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=4, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=8, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=None, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=3, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=4, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=2, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=3, Day=None
2024-09-14 00:12:00,894 - WARNING - Invalid date encountered: Year=1973, Month=6, Day=None
2024-09-14 00:12:00,909 - WARNING - Invalid date encountered: Year=1973, Month=1, Day=None
2024-09-14 00:12:00,909 - WARNING - Invalid date encountered: Year=1973, Month=4, Day=None
2024-09-14 00:12:00,909 - WARNING - Invalid date encountered: Year=1973, Month=6, Day=None
