2024-09-14 21:52:45,944 - __main__ - INFO - Starting extraction process...
2024-09-14 21:52:46,093 - root - INFO - Connected to database successfully
2024-09-14 21:52:46,093 - extract - INFO - Extracted columns from CSV file C:\Users\Legion\Desktop\official_data\1900_2021_DISASTERS.csv successfully
2024-09-14 21:52:46,110 - extract - INFO - Created staging table staging_disasters successfully
2024-09-14 21:52:46,184 - extract - INFO - Data loaded into staging table staging_disasters successfully
2024-09-14 21:52:46,193 - __main__ - INFO - Extraction completed successfully.
2024-09-14 21:52:46,193 - __main__ - INFO - Starting transformation process...
2024-09-14 21:52:46,226 - transform - INFO - Connected to database successfully
2024-09-14 21:52:46,568 - transform - INFO - Data fetched successfully for query:  --sql
                SELECT * FROM staging_disasters 
                WHERE TO_CHAR(extraction_time, 'YYYYMMDD') = '20240914';
            
2024-09-14 21:52:46,669 - transform - WARNING - Invalid date encountered: Year=1962, Month=8, Day=None
2024-09-14 21:52:46,669 - transform - WARNING - Invalid date encountered: Year=1962, Month=2, Day=None
2024-09-14 21:52:46,669 - transform - WARNING - Invalid date encountered: Year=1962, Month=11, Day=None
2024-09-14 21:52:46,669 - transform - WARNING - Invalid date encountered: Year=1962, Month=11, Day=None
2024-09-14 21:52:46,670 - transform - WARNING - Invalid date encountered: Year=1963, Month=4, Day=None
2024-09-14 21:52:46,670 - transform - WARNING - Invalid date encountered: Year=1963, Month=None, Day=None
2024-09-14 21:52:46,670 - transform - WARNING - Invalid date encountered: Year=1963, Month=10, Day=None
2024-09-14 21:52:46,670 - transform - WARNING - Invalid date encountered: Year=1963, Month=7, Day=None
2024-09-14 21:52:46,672 - transform - WARNING - Invalid date encountered: Year=1963, Month=12, Day=None
2024-09-14 21:52:46,673 - transform - WARNING - Invalid date encountered: Year=1963, Month=12, Day=None
2024-09-14 21:52:46,673 - transform - WARNING - Invalid date encountered: Year=1963, Month=5, Day=None
2024-09-14 21:52:46,673 - transform - WARNING - Invalid date encountered: Year=1963, Month=4, Day=None
2024-09-14 21:52:46,674 - transform - WARNING - Invalid date encountered: Year=1964, Month=7, Day=None
2024-09-14 21:52:46,674 - transform - WARNING - Invalid date encountered: Year=1964, Month=1, Day=None
2024-09-14 21:52:46,674 - transform - WARNING - Invalid date encountered: Year=1964, Month=4, Day=None
2024-09-14 21:52:46,675 - transform - WARNING - Invalid date encountered: Year=1964, Month=8, Day=None
2024-09-14 21:52:46,676 - transform - WARNING - Invalid date encountered: Year=1964, Month=3, Day=None
2024-09-14 21:52:46,679 - transform - WARNING - Invalid date encountered: Year=1965, Month=6, Day=None
2024-09-14 21:52:46,680 - transform - WARNING - Invalid date encountered: Year=1965, Month=6, Day=None
2024-09-14 21:52:46,681 - transform - WARNING - Invalid date encountered: Year=1965, Month=7, Day=None
2024-09-14 21:52:46,682 - transform - WARNING - Invalid date encountered: Year=1965, Month=2, Day=None
2024-09-14 21:52:46,682 - transform - WARNING - Invalid date encountered: Year=1965, Month=7, Day=None
2024-09-14 21:52:46,682 - transform - WARNING - Invalid date encountered: Year=1965, Month=8, Day=None
2024-09-14 21:52:46,682 - transform - WARNING - Invalid date encountered: Year=1965, Month=3, Day=None
2024-09-14 21:52:46,684 - transform - WARNING - Invalid date encountered: Year=1965, Month=4, Day=None
2024-09-14 21:52:46,684 - transform - WARNING - Invalid date encountered: Year=1965, Month=7, Day=None
2024-09-14 21:52:46,685 - transform - WARNING - Invalid date encountered: Year=1965, Month=8, Day=None
2024-09-14 21:52:46,685 - transform - WARNING - Invalid date encountered: Year=1965, Month=6, Day=None
2024-09-14 21:52:46,686 - transform - WARNING - Invalid date encountered: Year=1965, Month=6, Day=None
2024-09-14 21:52:46,686 - transform - WARNING - Invalid date encountered: Year=1966, Month=1, Day=None
2024-09-14 21:52:46,686 - transform - WARNING - Invalid date encountered: Year=1966, Month=1, Day=None
2024-09-14 21:52:46,687 - transform - WARNING - Invalid date encountered: Year=1966, Month=7, Day=None
2024-09-14 21:52:46,687 - transform - WARNING - Invalid date encountered: Year=1966, Month=6, Day=None
2024-09-14 21:52:46,688 - transform - WARNING - Invalid date encountered: Year=1966, Month=9, Day=None
2024-09-14 21:52:46,688 - transform - WARNING - Invalid date encountered: Year=1966, Month=2, Day=None
2024-09-14 21:52:46,690 - transform - WARNING - Invalid date encountered: Year=1966, Month=1, Day=None
2024-09-14 21:52:46,690 - transform - WARNING - Invalid date encountered: Year=1966, Month=3, Day=None
2024-09-14 21:52:46,693 - transform - WARNING - Invalid date encountered: Year=1966, Month=None, Day=None
2024-09-14 21:52:46,693 - transform - WARNING - Invalid date encountered: Year=1966, Month=9, Day=None
2024-09-14 21:52:46,697 - transform - WARNING - Invalid date encountered: Year=1967, Month=None, Day=None
2024-09-14 21:52:46,697 - transform - WARNING - Invalid date encountered: Year=1967, Month=10, Day=None
2024-09-14 21:52:46,699 - transform - WARNING - Invalid date encountered: Year=1967, Month=8, Day=None
2024-09-14 21:52:46,700 - transform - WARNING - Invalid date encountered: Year=1967, Month=11, Day=None
2024-09-14 21:52:46,700 - transform - WARNING - Invalid date encountered: Year=1967, Month=8, Day=None
2024-09-14 21:52:46,702 - transform - WARNING - Invalid date encountered: Year=1967, Month=None, Day=None
2024-09-14 21:52:46,702 - transform - WARNING - Invalid date encountered: Year=1967, Month=1, Day=None
2024-09-14 21:52:46,703 - transform - WARNING - Invalid date encountered: Year=1967, Month=6, Day=None
2024-09-14 21:52:46,704 - transform - WARNING - Invalid date encountered: Year=1968, Month=11, Day=None
2024-09-14 21:52:46,705 - transform - WARNING - Invalid date encountered: Year=1968, Month=7, Day=None
2024-09-14 21:52:46,705 - transform - WARNING - Invalid date encountered: Year=1968, Month=12, Day=None
2024-09-14 21:52:46,705 - transform - WARNING - Invalid date encountered: Year=1968, Month=6, Day=None
2024-09-14 21:52:46,706 - transform - WARNING - Invalid date encountered: Year=1968, Month=8, Day=None
2024-09-14 21:52:46,707 - transform - WARNING - Invalid date encountered: Year=1968, Month=8, Day=None
2024-09-14 21:52:46,708 - transform - WARNING - Invalid date encountered: Year=1968, Month=7, Day=None
2024-09-14 21:52:46,709 - transform - WARNING - Invalid date encountered: Year=1968, Month=11, Day=None
2024-09-14 21:52:46,709 - transform - WARNING - Invalid date encountered: Year=1968, Month=None, Day=None
2024-09-14 21:52:46,709 - transform - WARNING - Invalid date encountered: Year=1968, Month=10, Day=None
2024-09-14 21:52:46,709 - transform - WARNING - Invalid date encountered: Year=1968, Month=1, Day=None
2024-09-14 21:52:46,711 - transform - WARNING - Invalid date encountered: Year=1968, Month=4, Day=None
2024-09-14 21:52:46,711 - transform - WARNING - Invalid date encountered: Year=1968, Month=7, Day=None
2024-09-14 21:52:46,712 - transform - WARNING - Invalid date encountered: Year=1969, Month=1, Day=None
2024-09-14 21:52:46,712 - transform - WARNING - Invalid date encountered: Year=1972, Month=1, Day=None
2024-09-14 21:52:46,712 - transform - WARNING - Invalid date encountered: Year=1969, Month=4, Day=None
2024-09-14 21:52:46,712 - transform - WARNING - Invalid date encountered: Year=1972, Month=None, Day=None
2024-09-14 21:52:46,712 - transform - WARNING - Invalid date encountered: Year=1971, Month=1, Day=None
2024-09-14 21:52:46,712 - transform - WARNING - Invalid date encountered: Year=1972, Month=None, Day=None
2024-09-14 21:52:46,713 - transform - WARNING - Invalid date encountered: Year=1969, Month=10, Day=None
2024-09-14 21:52:46,714 - transform - WARNING - Invalid date encountered: Year=1969, Month=2, Day=None
2024-09-14 21:52:46,714 - transform - WARNING - Invalid date encountered: Year=1969, Month=11, Day=None
2024-09-14 21:52:46,716 - transform - WARNING - Invalid date encountered: Year=1969, Month=12, Day=None
2024-09-14 21:52:46,716 - transform - WARNING - Invalid date encountered: Year=1969, Month=10, Day=None
2024-09-14 21:52:46,717 - transform - WARNING - Invalid date encountered: Year=1969, Month=9, Day=None
2024-09-14 21:52:46,717 - transform - WARNING - Invalid date encountered: Year=1969, Month=5, Day=None
2024-09-14 21:52:46,717 - transform - WARNING - Invalid date encountered: Year=1969, Month=9, Day=None
2024-09-14 21:52:46,718 - transform - WARNING - Invalid date encountered: Year=1969, Month=6, Day=None
2024-09-14 21:52:46,718 - transform - WARNING - Invalid date encountered: Year=1969, Month=7, Day=None
2024-09-14 21:52:46,718 - transform - WARNING - Invalid date encountered: Year=1969, Month=10, Day=None
2024-09-14 21:52:46,721 - transform - WARNING - Invalid date encountered: Year=1969, Month=None, Day=None
2024-09-14 21:52:46,721 - transform - WARNING - Invalid date encountered: Year=1970, Month=1, Day=None
2024-09-14 21:52:46,721 - transform - WARNING - Invalid date encountered: Year=1970, Month=9, Day=None
2024-09-14 21:52:46,721 - transform - WARNING - Invalid date encountered: Year=1970, Month=7, Day=None
2024-09-14 21:52:46,721 - transform - WARNING - Invalid date encountered: Year=1970, Month=8, Day=None
2024-09-14 21:52:46,721 - transform - WARNING - Invalid date encountered: Year=1970, Month=1, Day=None
2024-09-14 21:52:46,726 - transform - WARNING - Invalid date encountered: Year=1970, Month=4, Day=None
2024-09-14 21:52:46,726 - transform - WARNING - Invalid date encountered: Year=1970, Month=11, Day=None
2024-09-14 21:52:46,726 - transform - WARNING - Invalid date encountered: Year=1970, Month=11, Day=None
2024-09-14 21:52:46,726 - transform - WARNING - Invalid date encountered: Year=1970, Month=1, Day=None
2024-09-14 21:52:46,726 - transform - WARNING - Invalid date encountered: Year=1970, Month=4, Day=None
2024-09-14 21:52:46,726 - transform - WARNING - Invalid date encountered: Year=1970, Month=12, Day=None
2024-09-14 21:52:46,726 - transform - WARNING - Invalid date encountered: Year=1971, Month=8, Day=None
2024-09-14 21:52:46,734 - transform - WARNING - Invalid date encountered: Year=1971, Month=1, Day=None
2024-09-14 21:52:46,734 - transform - WARNING - Invalid date encountered: Year=1971, Month=12, Day=None
2024-09-14 21:52:46,734 - transform - WARNING - Invalid date encountered: Year=1971, Month=3, Day=None
2024-09-14 21:52:46,734 - transform - WARNING - Invalid date encountered: Year=1971, Month=6, Day=None
2024-09-14 21:52:46,734 - transform - WARNING - Invalid date encountered: Year=1971, Month=7, Day=None
2024-09-14 21:52:46,734 - transform - WARNING - Invalid date encountered: Year=1971, Month=1, Day=None
2024-09-14 21:52:46,734 - transform - WARNING - Invalid date encountered: Year=1971, Month=8, Day=None
2024-09-14 21:52:46,734 - transform - WARNING - Invalid date encountered: Year=1971, Month=1, Day=None
2024-09-14 21:52:46,734 - transform - WARNING - Invalid date encountered: Year=1971, Month=7, Day=None
2024-09-14 21:52:46,737 - transform - WARNING - Invalid date encountered: Year=1971, Month=4, Day=None
2024-09-14 21:52:46,737 - transform - WARNING - Invalid date encountered: Year=1971, Month=10, Day=None
2024-09-14 21:52:46,737 - transform - WARNING - Invalid date encountered: Year=1972, Month=1, Day=None
2024-09-14 21:52:46,737 - transform - WARNING - Invalid date encountered: Year=1972, Month=11, Day=None
2024-09-14 21:52:46,737 - transform - WARNING - Invalid date encountered: Year=1972, Month=11, Day=None
2024-09-14 21:52:46,737 - transform - WARNING - Invalid date encountered: Year=1972, Month=11, Day=None
2024-09-14 21:52:46,737 - transform - WARNING - Invalid date encountered: Year=1972, Month=1, Day=None
2024-09-14 21:52:46,737 - transform - WARNING - Invalid date encountered: Year=1972, Month=4, Day=None
2024-09-14 21:52:46,737 - transform - WARNING - Invalid date encountered: Year=1972, Month=10, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1972, Month=None, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1972, Month=None, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=12, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=12, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=3, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=4, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=8, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=None, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=3, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=4, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=2, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=3, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=6, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=1, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=4, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1973, Month=6, Day=None
2024-09-14 21:52:46,742 - transform - WARNING - Invalid date encountered: Year=1974, Month=2, Day=None
2024-09-14 21:52:46,750 - transform - WARNING - Invalid date encountered: Year=1974, Month=1, Day=None
2024-09-14 21:52:46,750 - transform - WARNING - Invalid date encountered: Year=1974, Month=12, Day=None
